"id","codbarras","nome","preco_venda"
57484,"7896115701078",COND.TRALALA VITAMINADO 480ML,"13,95"
57485,"7896672460043",MIST.CAKE INT.LARANJA CHIA 1KG,"0"
57486,"574860",FORMA ALUMINIO D10 WYDA C/100,"0"
57487,"7898926234141",COBERTURA CHOCO.BCO CASTOR FIL 5KG,"0"
57489,"574891",CAIXA PAPELAO KIT,"0"
57490,"7896243108862",BALAO GIGANTE SAO ROQUE PINK,"17,9"
57491,"7982505309730",SACO ASPIRADOR PO JJ A-20 1UN,"8,9"
57492,"7982505309785",SACO ASPIRADOR PO JJ A-10 1UN,"8,9"
57493,"574938",MATERIAL TRAMONTINA,"0"
57494,"7896061030512",SEMENTE ABOBORA H.TETSUKABUTO KG,"0"
57497,"7898115443521",PICOLE MAROMA CHOCOBARRA,"4,3"
57498,"7702018382330",CARGA GILLETE FUSION PROSHIELD C/2,"42"
57499,"7791293035161",DESOD.AXE AEROSOL 90G YOU,"13,95"
57500,"7896227650158",ABS.COTTONBABY LADY C/ABAS 8UN,"2,99"
57501,"7891224852284",SAND.HAVAI.BATMAN 41/42 NOVO GRAFIT,"39,9"
57502,"7891224852260",SAND.HAVAI.BATMAN 37/38 NOVO GRAFIT,"39,9"
57503,"7891224852277",SAND.HAVAI.BATMAN 39/40 NOVO GRAFIT,"39,9"
57504,"7891224852291",SAND.HAVAI.BATMAN 43/44 NOVO GRAFIT,"39,9"
57505,"7891224836017",SAND.HAVAI.SURF 4546 BEGE PAL.MARI,"49,9"
57506,"7891224835928",SAND.HAVAI.SURF 39/40 CZA/PTO,"49,9"
57507,"7891224835959",SAND.HAVAI.SURF 45/46 CZA/PTO,"49,9"
57508,"7896102502756",CATCHUP QUERO TRADICIONAL 400GR,"4,95"
57509,"7898380410983",BISC.GOOD SOY MINIGRIS.AZ.ERV 30GR,"3,99"
57510,"7898380410976",BISC.GOOD SOY MINIGRIS.MULTIGR 30GR,"3,99"
57511,"7896306618420",WAFFER TRENTO MASSIMO CHOCO 30GR,"2,39"
57512,"7898958607050","ALUMINIO ROLO LIFE CLEAN 45X7,5CM","7,95"
57513,"7896711100077",BEB.CATUABA PIRATINHA 900ML,"8,95"
57514,"7909006394362",SAND.GRENDENE CARTAGO DAKAR INF.,"44,9"
57515,"7892840814762",SALG.ELMA CHIPS STIKSY 130G,"5,99"
57516,"7898100194063",BRINQ.CARINHO 406 COELHA LILICA G,"134,9"
